OmimID	Gene
117139	CENPA
117140	CENPB
117141	CENPC
117142	-
117143	CENPE
117200	-
117210	-
117300	-
117340	CDR2
117350	-
117360	-
117400	-
117550	-
117600	-
117650	-
117700	CP
117800	-
117850	-
117900	-
118000	-
118005	-
118100	-
118150	-
118190	HSPD1
118200	-
118210	-
118220	-
118230	-
118300	-
118301	-
118330	-
118350	-
118400	-
118420	-
118423	CHN1
118425	CLCN1
118430	-
118440	CCK
118444	CCKAR
118445	CCKBR
118450	-
118455	CYP7A1
118457	-
118470	CETP
118480	-
118485	CYP11A1
118490	CHAT
118491	CHKA
118493	CHRM2
118494	CHRM3
118495	CHRM4
118496	CHRM5
118502	CHRNA2
118503	CHRNA3
118504	CHRNA4
118505	CHRNA5
118507	CHRNB2
118508	CHRNB3
118509	CHRNB4
118510	CHRM1
118511	CHRNA7
118600	-
118610	-
118650	-
118651	-
118661	VCAN
118670	-
118700	-
118750	-
118800	-
118820	CSH2
118825	CHML
118830	-
118840	CHR
118850	CGA
118860	CGB
118865	-
118870	NHCP1
118880	-
118888	CTRL
118890	CTRB1
118900	-
118910	CHGA
118920	CHGB
118930	SCG2
118938	CMA1
118940	-
118943	CYMP
118945	CNTF
118946	CNTFR
118950	CS
118953	-
118955	CLTC
118960	CLTA
118970	CLTB
118980	-
118990	SSFA2
119000	-
119100	-
119300	-
119500	-
119530	OFC1
119540	-
119550	-
119570	-
119580	-
119600	-
119650	-
119800	-
119900	-
119915	-
120000	-
120040	-
120050	CXB3S
120070	COL4A3
120080	-
120090	COL4A2
120100	-
120105	CLPS
120110	COL10A1
120120	COL7A1
120130	COL4A1
120131	COL4A4
120140	COL2A1
120150	COL1A1
120160	COL1A2
120165	COL19A1
120170	-
120180	COL3A1
120190	COL5A2
120200	-
120210	COL9A1
120215	COL5A1
120216	COL5A3
120220	COL6A1
120240	COL6A2
120250	COL6A3
120251	COL8A1
120252	COL8A2
120260	COL9A2
120270	COL9A3
120280	COL11A1
120290	COL11A2
120300	-
120310	-
120320	COL12A1
120321	-
120324	COL14A1
120325	COL15A1
120326	COL16A1
120327	-
120328	COL18A1
120330	-
120340	COL1AR
120350	COL13A1
120353	MMP1
120355	MMP8
120360	MMP2
120361	MMP9
120400	-
120420	CSF1
120430	-
120433	-
120435	-
120436	MLH1
120440	-
120450	-
120460	-
120470	DCC
120500	-
120502	-
120520	MME
120550	C1QA
120560	-
120570	C1QB
120575	C1QC
120577	CD93
120580	C1S
120620	CR1
120650	CR2
120700	C3
120790	-
120810	C4A
120820	C4B
120830	C4BPA
120831	C4BPB
120832	-
120900	C5
120920	CD46
120930	C8G
120940	C9
120950	C8A
120960	C8B
120970	-
120980	ITGAM
121000	-
121009	CTGF
121010	PPBP
121011	GJB2
121012	GJA4
121013	GJA5
121014	GJA1
121015	GJA3
121020	-
121050	-
121070	-
121200	-
121201	-
121210	1-Feb
121250	-
121270	-
121300	-
121350	-
121360	CBFB
121390	-
121400	CNA1
121450	-
121700	CHED1
121800	-
121820	-
121850	-
121900	-
122000	-
122100	-
122200	-
122400	-
122430	-
122440	-
122450	-
122455	-
122460	HCVS
122470	-
122480	-
122500	SERPINA6
122550	-
122559	CRHBP
122560	CRH
122561	CRHR1
122580	-
122600	-
122700	-
122720	CYP2A6
122750	-
122780	-
122850	-
122860	-
122880	-
122900	-
122920	-
123000	-
123050	-
123100	-
123101	MSX2
123150	-
123155	-
123260	CRP
123270	CKBE
123280	CKB
123290	CKMT1B
123295	CKMT2
123310	CKM
123320	-
123400	-
123450	-
123500	-
123540	-
123550	-
123555	-
123557	-
123560	-
123570	-
123580	CRYAA
123590	CRYAB
123610	CRYBA1
123620	CRYBB2
123630	CRYBB3
123631	CRYBA4
123660	CRYGA
123670	CRYGB
123680	CRYGC
123690	CRYGD
123691	CRYZ
123695	PCYT1A
123700	-
123710	-
123720	-
123730	CRYGS
123740	CRYM
123790	-
123803	ATF1
123805	PDE3A
123810	CREB1
123811	ATF2
123812	CREM
123825	CNGA1
123828	CDK3
123829	CDK4
123830	CNP
123831	CDK5
123832	CDKN3
123833	CCND2
123834	CCND3
123835	CCNA2
123836	CCNB1
123837	CCNE1
123838	CCNC
123839	-
123840	PPIA
123841	PPIB
123842	PPIC
123850	-
123853	-
123855	CST1
123856	CST2
123857	CST4
123858	CST5
123859	CARS
123860	CTPS1
123864	COX4I1
123866	COX5B
123870	COX8A
123875	CRIP1
123876	CSRP1
123880	-
123885	S100A8
123886	S100A9
123889	IL10RB
123890	CTLA4
123900	EZR
123910	GZMB
123920	CDA
123930	CYP2B6
123940	KRT4
123950	-
123960	-
123970	CYCS
123980	CYC1
123995	COX7A1
123996	COX7A2
123997	COX7A2P2
124000	-
124010	CYP3A4
124015	POR
124020	CYP2C19
124030	CYP2D6
124040	CYP2E1
124050	DAO
124060	CYP1A2
124070	CYP2F1
124075	CYP4B1
124080	CYP11B2
124089	COX6B1
124090	COX6C
124092	IL10
124095	CSK
124097	DBP
124100	-
124200	-
124300	-
124400	-
124450	DDO
124480	-
124490	-
124500	-
124580	-
124700	-
124800	-
124900	-
124910	-
124950	-
125000	-
125050	-
125100	-
125220	DEFA1
125230	-
125240	CD55
125250	-
125255	DCN
125260	VDI
125263	SULT2A1
125264	DEK
125265	REEP5
125270	ALAD
125280	-
125290	ALAS1
125300	-
125305	DMTN
